月份,商品数量,样本占比(%),样本累计数量
2016-08,1,0.58823529,1
2016-09,3,1.76470588,4
2016-10,0,0.00000000,4
2016-11,0,0.00000000,4
2016-12,0,0.00000000,4
2017-01,0,0.00000000,4
2017-02,0,0.00000000,4
2017-03,0,0.00000000,4
2017-04,0,0.00000000,4
2017-05,0,0.00000000,4
2017-06,0,0.00000000,4
2017-07,0,0.00000000,4
2017-08,0,0.00000000,4
2017-09,0,0.00000000,4
2017-10,0,0.00000000,4
2017-11,0,0.00000000,4
2017-12,0,0.00000000,4
2018-01,0,0.00000000,4
2018-02,0,0.00000000,4
2018-03,1,0.58823529,5
2018-04,0,0.00000000,5
2018-05,0,0.00000000,5
2018-06,0,0.00000000,5
2018-07,1,0.58823529,6
2018-08,0,0.00000000,6
2018-09,0,0.00000000,6
2018-10,0,0.00000000,6
2018-11,0,0.00000000,6
2018-12,1,0.58823529,7
2019-01,0,0.00000000,7
2019-02,1,0.58823529,8
2019-03,0,0.00000000,8
2019-04,0,0.00000000,8
2019-05,0,0.00000000,8
2019-06,0,0.00000000,8
2019-07,0,0.00000000,8
2019-08,0,0.00000000,8
2019-09,0,0.00000000,8
2019-10,0,0.00000000,8
2019-11,0,0.00000000,8
2019-12,0,0.00000000,8
2020-01,0,0.00000000,8
2020-02,1,0.58823529,9
2020-03,0,0.00000000,9
2020-04,1,0.58823529,10
2020-05,0,0.00000000,10
2020-06,0,0.00000000,10
2020-07,0,0.00000000,10
2020-08,1,0.58823529,11
2020-09,0,0.00000000,11
2020-10,5,2.94117647,16
2020-11,0,0.00000000,16
2020-12,0,0.00000000,16
2021-01,0,0.00000000,16
2021-02,1,0.58823529,17
2021-03,0,0.00000000,17
2021-04,0,0.00000000,17
2021-05,0,0.00000000,17
2021-06,0,0.00000000,17
2021-07,0,0.00000000,17
2021-08,1,0.58823529,18
2021-09,8,4.70588235,26
2021-10,0,0.00000000,26
2021-11,0,0.00000000,26
2021-12,0,0.00000000,26
2022-01,0,0.00000000,26
2022-02,1,0.58823529,27
2022-03,0,0.00000000,27
2022-04,1,0.58823529,28
2022-05,0,0.00000000,28
2022-06,0,0.00000000,28
2022-07,1,0.58823529,29
2022-08,4,2.35294118,33
2022-09,1,0.58823529,34
2022-10,1,0.58823529,35
2022-11,0,0.00000000,35
2022-12,0,0.00000000,35
2023-01,0,0.00000000,35
2023-02,3,1.76470588,38
2023-03,0,0.00000000,38
2023-04,0,0.00000000,38
2023-05,0,0.00000000,38
2023-06,1,0.58823529,39
2023-07,1,0.58823529,40
2023-08,5,2.94117647,45
2023-09,11,6.47058824,56
2023-10,3,1.76470588,59
2023-11,0,0.00000000,59
2023-12,2,1.17647059,61
2024-01,1,0.58823529,62
2024-02,0,0.00000000,62
2024-03,1,0.58823529,63
2024-04,1,0.58823529,64
2024-05,1,0.58823529,65
2024-06,2,1.17647059,67
2024-07,2,1.17647059,69
2024-08,2,1.17647059,71
2024-09,15,8.82352941,86
2024-10,2,1.17647059,88
2024-11,3,1.76470588,91
2024-12,1,0.58823529,92
2025-01,3,1.76470588,95
2025-02,2,1.17647059,97
2025-03,2,1.17647059,99
2025-04,4,2.35294118,103
2025-05,3,1.76470588,106
2025-06,1,0.58823529,107
2025-07,3,1.76470588,110
2025-08,9,5.29411765,119
2025-09,20,11.76470588,139
2025-10,3,1.76470588,142
2025-11,3,1.76470588,145
2025-12,4,2.35294118,149
2026-01,3,1.76470588,152
2026-02,8,4.70588235,160
2026-03,2,1.17647059,162
2026-04,1,0.58823529,163
2026-05,1,0.58823529,164
2026-06,1,0.58823529,165
2026-07,2,1.17647059,167
2026-08,2,1.17647059,169
2026-09,1,0.58823529,170
